text,label
I went to college today and attended classes,0
Deep learning uses neural networks for prediction,1
I completed my homework on time,0
Artificial intelligence is transforming modern industries,1
I went to college today and attended classes,0
Algorithms optimize decision making processes,1
I practiced coding for two hours today,0
Intelligent systems improve operational efficiency,1
I practiced coding for two hours today,0
Deep learning uses neural networks for prediction,1
We visited a temple last month,0
AI technologies are shaping the future of innovation,1
I met my friends after a long time,0
Machine learning models analyze data efficiently,1
I met my friends after a long time,0
AI technologies are shaping the future of innovation,1
I completed my homework on time,0
Algorithms optimize decision making processes,1
I met my friends after a long time,0
Large language models are trained on vast datasets,1
I completed my homework on time,0
Neural networks mimic the human brain structure,1
I like listening to music before sleeping,0
Intelligent systems improve operational efficiency,1
I like listening to music before sleeping,0
AI systems can generate realistic human-like text,1
My teacher explained the topic clearly,0
Data-driven systems enhance performance and accuracy,1
My friends and I played cricket in the evening,0
AI applications are widely used in business,1
We visited a temple last month,0
AI systems can generate realistic human-like text,1
I like listening to music before sleeping,0
Data-driven systems enhance performance and accuracy,1
My friends and I played cricket in the evening,0
Data-driven systems enhance performance and accuracy,1
I like listening to music before sleeping,0
Intelligent systems improve operational efficiency,1
My teacher explained the topic clearly,0
Predictive analytics helps in forecasting trends,1
I practiced coding for two hours today,0
Neural networks mimic the human brain structure,1
My brother helped me with my project,0
Natural language processing enables text understanding,1
We went shopping during the weekend,0
AI systems can generate realistic human-like text,1
My teacher explained the topic clearly,0
Artificial intelligence is transforming modern industries,1
The weather is very pleasant today,0
AI technologies are shaping the future of innovation,1
I met my friends after a long time,0
AI systems can generate realistic human-like text,1
I practiced coding for two hours today,0
Large language models are trained on vast datasets,1
I completed my homework on time,0
Large language models are trained on vast datasets,1
My friends and I played cricket in the evening,0
Neural networks mimic the human brain structure,1
My teacher explained the topic clearly,0
Algorithms optimize decision making processes,1
I went to college today and attended classes,0
AI applications are widely used in business,1
My teacher explained the topic clearly,0
AI technologies are shaping the future of innovation,1
I like listening to music before sleeping,0
Neural networks mimic the human brain structure,1
The weather is very pleasant today,0
Algorithms optimize decision making processes,1
The weather is very pleasant today,0
Machine learning models analyze data efficiently,1
I went to college today and attended classes,0
AI technologies are shaping the future of innovation,1
My teacher explained the topic clearly,0
AI applications are widely used in business,1
My brother helped me with my project,0
Intelligent systems improve operational efficiency,1
I woke up early and went for a walk,0
Machine learning models analyze data efficiently,1
I practiced coding for two hours today,0
Neural networks mimic the human brain structure,1
I enjoy reading books in my free time,0
Automation improves productivity across sectors,1
I met my friends after a long time,0
Automation improves productivity across sectors,1
I enjoy reading books in my free time,0
Intelligent systems improve operational efficiency,1
My brother helped me with my project,0
Data-driven systems enhance performance and accuracy,1
I enjoy reading books in my free time,0
Large language models are trained on vast datasets,1
I enjoy reading books in my free time,0
Machine learning models analyze data efficiently,1
I had dinner with my family yesterday,0
Machine learning models analyze data efficiently,1
The weather is very pleasant today,0
Natural language processing enables text understanding,1
We visited a temple last month,0
Algorithms optimize decision making processes,1
We went shopping during the weekend,0
AI is revolutionizing healthcare and education,1
I met my friends after a long time,0
AI applications are widely used in business,1
I like listening to music before sleeping,0
Neural networks mimic the human brain structure,1
I enjoy reading books in my free time,0
AI is revolutionizing healthcare and education,1
My brother helped me with my project,0
AI technologies are shaping the future of innovation,1
My brother helped me with my project,0
Artificial intelligence is transforming modern industries,1
